ExternalId,BetlabEventKey,NameLng1,NameText1,NameLng2,NameText2,GroupCommentLng1,GroupCommentText1,GroupCommentLng2,GroupCommentText2
31225796,PT72:PR32:PR40:1522348200,en,Serie B|:Empoli - Salernitana,ru,Серия В|:Эмполи - Салернитана,,,,
31227511,PT1123:PR133622:PR133631:1522281600,en,NBA. Stats. 3-PA|:Memphis 3 point field goals - Portland 3 point field goals,ru,NBA. Статистика. 3-х очковые|:Мемфис 3-х очк. попадания - Портленд 3-х очк. попадания,,,,
31224944,PT5:PR564:PR13962:1522503000,en,Bundesliga|:Bayer Leverkusen - Augsburg,ru,Бундеслига|:Байер Леверкузен - Аугсбург,,,,
31226724,PT699:PR31849:1523012400,en,Formula 1. WCC. Futures|Motor Sports. Constructors Championship 2018. Winner:Ferrari,ru,Формула 1. Кубок конструкторов. Итоги|Авто-мотоспорт. Победитель сезона 2018:Феррари,,,,
31225619,PT60:PR977:PR1309:1523124000,en,Ligue 1|:Bordeaux - Lille,ru,Лига 1|:Бордо - Лилль,,,,
31228115,PT2335:PR72160:PR114750:1522287000,en,|Mornington:Barton Matthew - Romios Matthew Christopher,ru,|Морнингтон:Бартон Мэтью - Ромиос Мэтью Кристофер,,,,
31225155,PT11:PR1345:PR1343:1522695600,en,Primeria Liga|Primeira:Belenenses - FC Porto,ru,Примейра-Лига|:Белененсиш - Порту,,,,
31229141,PT2792:PR86321:1522295940,en,|DAC. Who is higher. Europe:OG,ru,|DAC. Кто выше по итогам турнира. Европа:OG,,,,
31229264,PT2923:PR639:1529226000,en,ACB League 2017/18. Futures|:Saski Baskonia,ru,Лига ACB 2017/18. Итоги|:Баскония,ru,остальные по запросу,en,Others on request
31225074,PT8:PR68:PR66:1522518300,en,Eredivisie|:PSV - NAC Breda,ru,Eredivisie|:ПСВ - Бреда,,,,
31230996,PT4135:PR10507:PR141113:1522522800,en,MLS. Stats|:match stat Los Angeles Galaxy - match stat Los Angeles FC,ru,MLS. Статистика|:стат.матч Лос-Анджелес Гэлэкси - стат.матч Лос-Анджелес,,,,
31228577,PT2410:PR50364-PR68128:PR13826-PR33776:1522296000,en,Doubles|Kofu:Kaji Haruka/Yoshitomi Aiko - Chan Chin-Wei/Raina Ankita,ru,Пары|Кофу:Кадзи Харука/Йоситоми Аико - Чжань Цзинь-Вэй/Раина Анкита,,,,
31229107,PT2792:PR61584:PR77454:1533207600,en,|Pro Circuit. Season Results. Who Is Higher:Team Liquid - Team Secret,ru,|Pro Circuit. Итоги сезона. Сравнения:Team Liquid - Team Secret,,,,
31229473,PT3055:PR72204:PR29029:1522270800,en,Primera Division|:CD Ocotal - Real Esteli,ru,Примера Дивизион|:Окоталь - Реал Эстели,,,,
31226516,PT583:PR7745:PR2830:1522418400,en,National League|:Woking - Macclesfield,ru,Национальная Конференция|:Уокинг - Маклсфилд,,,,
31229142,PT2792:PR58798:1522295940,en,|DAC. Who is higher. China:LGD Gaming,ru,|DAC. Кто выше по итогам турнира. Китай:LGD Gaming,,,,
31229062,PT2771:PR111600:PR126214:1522526400,en,|LLN:Dash9 - 6sense,ru,|Лига Легенд. LLN:Dash9 - 6sense,,,,
31230089,PT3190:PR122249:1530201600,en,Bundesliga 2. Futures|Football. 2 2017/18:Jahn Regensburg,ru,Бундеслига 2. Итоги|Футбол. 2 2017/18:Регенсбург,,,,
31225086,PT8:PR67:PR3246:1523126700,en,Eredivisie|:Sparta Rotterdam - VVV-Venlo,ru,Eredivisie|:Спарта Роттердам - Венло,,,,
31224894,PT2:PR2824:PR11:1522504800,en,Premier League|:Brighton - Leicester,ru,Премьер-Лига|:Брайтон - Лестер,,,,
31229100,PT2782:PR74167:PR25276:1522497600,en,Regionalliga|:SV Wals-Grunau - Hard,ru,Региональная лига|:Вальс-Грюнау - Хард,,,,
31226123,PT407:PR2735:PR25303:1522512900,en,Premier League|:Bangor City - TNS FC,ru,Премьер-Лига|:Бангор Сити - ТНС,,,,
31232696,PT52:PR468:PR465:1522375800,en,MLB|:Seattle Mariners - Cleveland Indians,ru,MLB|:Сиэтл Маринерс - Кливленд Индианс,,,,
31227538,PT1140:PR16646:PR43487:1522324800,en,Second Division|:Hvidovre IF - FC Sydvest 05,ru,Второй дивизион|:Хвидовре - Сюдвест 05,,,,
31230787,PT3953:PR102626:PR102617:1522414800,en,Premier League 2|Division:West Brom U-23 - Wolverhampton U-23,ru,Премьер-лига 2|Дивизион:Вест Бромвич U-23 - Вулверхэмптон U-23,,,,
31225395,PT24:PR645:PR649:1522578600,en,ACB League|:Joventut Badalona - Gran Canaria,ru,Лига ACB|:Ховентут - Гран Канария,,,,
31230430,PT3422:PU12815535:1522279740,en,New York. Pick 10. 20 from 80|:28/03/18,ru,Нью-Йорк. Pick 10. 20 из 80|:28/03/18 ,,,,
31229168,PT2813:PR107446:PR141830:1522263600,en,|IEM Quali:DIVIZON - HOLLYWOOD,ru,|IEM Quali:DIVIZON - HOLLYWOOD,,,,
31231473,PT4682:PR142027:1522382400,en,Fishing. Ukrainian Fishing League|Specials. 2018. 1st stage:Major Craft,ru,Рыбалка. Украинская рыболовная лига|Разное. 2018. 1й этап:Major Craft,,,,
31225062,PT7:PR48:PR47:1523817900,en,Primera Division|:Malaga - Real Madrid,ru,Примера|:Малага - Реал Мадрид,,,,
31232685,PT52:PR479:PR459:1522343400,en,MLB|:Detroit Tigers - Pittsburgh Pirates,ru,MLB|:Детройт Тайгерс - Питтсбург Пайрэтс,,,,
31229114,PT2792:PR61584:1522296000,en,|DAC. Results:Team Liquid,ru,|DAC. Итоги:Team Liquid,,,,
31227005,PT857:PR34277:PR15561:1522555200,en,J2 League|:Roasso Kumamoto - Albirex Niigata,ru,J2-Лига|:Роассо Кумамото - Албирекс Ниигата,,,,
31229109,PT2792:PR58794:PR58785:1533207600,en,|Pro Circuit. Season Results. Who Is Higher:NewBee - Vici Gaming,ru,|Pro Circuit. Итоги сезона. Сравнения:NewBee - Vici Gaming,,,,
31229493,PT3092:PR14474:PR3720:1522506600,en,Segunda B. Group 2|:Pena Sport - Burgos CF,ru,Сегунда В. Группа 2|:Пенья Спорт - Бургос,,,,
31229696,PT3148:PU11441396:1530108000,en,FIFA World Cup 2018. Winner|Football. FIFA World Cup 2018. Group F:Group winner,ru,Чемпионат мира 2018. Победитель|Футбол. Группа F:Победитель группы ,,,,
31238908,PT1102:PR20140:PR62434:1522290600,en,|Kofu:Marino Rebecca - Jang Su Jeong,ru,|Кофу:Марино Ребекка - Чан Со-Чжон,,,,
31227047,PT887:PR1178:PR21810:1522497600,en,Liga 3|:Chemnitzer FC - SG Sonnenhof Grossaspach,ru,Лига 3|:Хемницер - Зонненхоф Гроссашпах,,,,
31225620,PT60:PR1308:PR983:1523192400,en,Ligue 1|:Nice - Rennes,ru,Лига 1|:Ницца - Ренн,,,,
31228847,PT2580:PR9989:1527792300,en,England. RFU Championship. Futures|Rugby union. RFU Championship:Bath,ru,Англия. Премьер-лига. Итоги|:Бат,,,,
31228164,PT2336:PR566:PR568:1522521000,en,Bundesliga. Stats|:match stat Hertha - match stat Wolfsburg,ru,Бундеслига. Статистика|:стат.матч Герта - стат.матч Вольфсбург,,,,
31224864,PT1:PR2363:PR2364:1522493880,en,Premier League|:Home Ukraine - Away Teams Ukraine,ru,Премьер-лига|:Хозяева Украина - Гости Украина,,,,
31227117,PT905:PR137540:1526806800,en,|Thomas Cup  2018. Futures:Malaysia,ru,|Thomas Cup  2018. Итоги турнира:Малайзия,,,,
31229757,PT3148:PU12167935:1530036000,en,FIFA World Cup 2018. Winner|Football. FIFA World Cup 2018. Group D:4th place,ru,Чемпионат мира 2018. Победитель|Футбол. Группа D:4 место ,,,,
31229216,PT2899:PR143182:PR33629:1522263600,en,Cup|:Boa Esporte Clube U-20 - Corinthians U-20,ru,Кубок|:Боа U-20 - Коринтианс U-20,,,,
31225773,PT71:PR2829:PR351:1522411200,en,Championship|:Millwall - Nottm Forest,ru,Чемпионшип|:Миллуолл - Ноттингем,,,,
31226133,PT413:PR54:PR533:1522867500,en,Teams duel by individual totals|total:Barcelona(ESP) - Liverpool(ENG),ru,Сравнение команд по индивидуальному тоталу|:Барселона(ESP) - Ливерпуль(ENG),,,,
31225307,PT20:PR185:PR179:1522342800,en,SHL|:Malmo - Frolunda HC,ru,SHL|:Мальмё - Фрелунда,,,,
31227733,PT2220:PR47293:PR65012:1522315800,en,Tercera|:CD Baskonia - CD Aurrera,ru,Терсера|:Баскония - Ауррера,,,,
31229534,PT3096:PR16947:PR7731:1522418400,en,National League. South|:Havant - Weston-super-Mare,ru,Южная Конференция|:Хэвэнт - Вестон-супер-Мер,,,,
31227936,PT2295:PR45421:PR85996:1522342800,en,Regionalliga|Nord:St Pauli II - 1. FC Germania Egestorf-Langreder,ru,Региональная лига|Север:Санкт-Паули-2 - Германия Эгесторф-Лангредер,,,,
31227945,PT2295:PR16072:PR16240:1522338300,en,Regionalliga|Nord:VFL Oldenburg - TSV Havelse,ru,Региональная лига|Север:Ольденбург - Хафельсе,,,,
31227118,PT905:PR137541:1526806800,en,|Thomas Cup  2018. Futures:India,ru,|Thomas Cup  2018. Итоги турнира:Индия,,,,
31231434,PT4682:PR142027:PR142024:1522382400,en,Fishing. Ukrainian Fishing League|Specials. 2018. 1st stage. Which team will score more points:Major Craft - Zetrix,ru,Рыбалка. Украинская рыболовная лига|Разное. 2018. 1-й этап. Кто наберёт больше баллов:Major Craft - Zetrix,ru,| остальные пары по запросу,,
31231474,PT4682:PR142028:1522382400,en,Fishing. Ukrainian Fishing League|Specials. 2018. 1st stage:Vyurt,ru,Рыбалка. Украинская рыболовная лига|Разное. 2018. 1й этап:Вюрт – Промвитех,,,,
31224968,PT6:PR45:PR41:1523203200,en,Serie A|:Udinese - Lazio,ru,Серия А|:Удинезе - Лацио,,,,
31226131,PT413:PR507:PR37:1522781100,en,Teams duel by individual totals|total:Bayern Munich(DEU) - Juventus(ITA),ru,Сравнение команд по индивидуальному тоталу|:Бавария(DEU) - Ювентус(ITA),,,,
31229782,PT3148:PU12158449:1530122400,en,FIFA World Cup 2018. Winner|Football. FIFA World Cup 2018. Group E:Group E Specials,ru,Чемпионат мира 2018. Победитель|Футбол. Группа E:Итоги группы E ,,,,
31228050,PT2335:PR33443:PR53855:1522308600,en,|Heraklion:Jankovits Yannick - Biljesko Domagoj,ru,|Ираклион:Янковиц Янник - Бильешко Домагой,,,,
